Date,Open,High,Low,Close,Adj Close,Volume
2017-01-10,226.479996,227.449997,226.009995,226.460007,215.001022,63771900
2017-01-11,226.360001,227.100006,225.589996,227.100006,215.608612,74650000
2017-01-12,226.500000,226.750000,224.960007,226.529999,215.067474,72113200
2017-01-13,226.729996,227.399994,226.690002,227.050003,215.561157,62717900
2017-01-17,226.309998,226.779999,225.800003,226.250000,214.801636,61240800
2017-01-18,226.539993,226.800003,225.899994,226.750000,215.276337,54793300
2017-01-19,226.839996,227.000000,225.410004,225.910004,214.478836,66608800
2017-01-20,226.699997,227.309998,225.970001,226.740005,215.266846,129168600
2017-01-23,226.740005,226.809998,225.270004,226.149994,214.706665,75061600
2017-01-24,226.399994,228.080002,226.270004,227.600006,216.083313,95555300
2017-01-25,228.699997,229.570007,228.509995,229.570007,217.953644,84437700
2017-01-26,229.399994,229.710007,229.009995,229.330002,217.725784,59970700
2017-01-27,229.419998,229.589996,228.759995,228.970001,217.384003,59711100
2017-01-30,228.169998,228.199997,226.410004,227.550003,216.035843,79737300
2017-01-31,226.979996,227.600006,226.320007,227.529999,216.016876,75880800
2017-02-01,227.529999,228.589996,226.940002,227.619995,216.102310,79117700
2017-02-02,227.619995,228.100006,226.820007,227.770004,216.244720,69657600
2017-02-03,228.820007,229.550003,228.460007,229.339996,217.735275,80563200
2017-02-06,228.869995,229.330002,228.539993,228.929993,217.346039,57790100
2017-02-07,229.380005,229.660004,228.720001,228.940002,217.355545,57931200
2017-02-08,228.940002,229.389999,228.309998,229.240005,217.640350,51566200
2017-02-09,229.240005,230.949997,229.240005,230.600006,218.931503,65955200
2017-02-10,231.000000,231.770004,230.619995,231.509995,219.795471,66015900
2017-02-13,232.080002,233.070007,232.050003,232.770004,220.991714,55182100
2017-02-14,232.559998,233.710007,232.160004,233.699997,221.874664,71109000
2017-02-15,233.449997,235.139999,233.389999,234.919998,223.032913,86785800
2017-02-16,234.949997,235.160004,233.850006,234.720001,222.843079,84722400
2017-02-17,233.949997,235.089996,233.929993,235.089996,223.194290,77204100
2017-02-21,235.520004,236.690002,235.509995,236.490005,224.523468,88946100
2017-02-22,236.020004,236.539993,235.830002,236.279999,224.324081,62115200
2017-02-23,236.880005,236.899994,235.559998,236.440002,224.475998,74615900
2017-02-24,235.460007,236.789993,235.410004,236.740005,224.760849,82381600
2017-02-27,236.639999,237.309998,236.350006,237.110001,225.112106,56515400
2017-02-28,236.669998,236.949997,236.020004,236.470001,224.504486,96961900
2017-03-01,238.389999,240.320007,238.369995,239.779999,227.647003,149158200
2017-03-02,239.559998,239.570007,238.210007,238.270004,226.213425,70246000
2017-03-03,238.169998,238.610001,237.729996,238.419998,226.355804,81974300
2017-03-06,237.500000,238.119995,237.009995,237.710007,225.681778,55391500
2017-03-07,237.360001,237.770004,236.759995,237.000000,225.007660,65103700
2017-03-08,237.339996,237.639999,236.399994,236.559998,224.589951,78168800
2017-03-09,236.699997,237.240005,235.740005,236.860001,224.874771,90683900
2017-03-10,237.970001,238.020004,236.589996,237.690002,225.662750,81991700
2017-03-13,237.619995,237.860001,237.240005,237.809998,225.776703,57256800
2017-03-14,237.179993,237.240005,236.190002,236.899994,224.912720,59880800
2017-03-15,237.559998,239.440002,237.289993,238.949997,226.858994,96081800
2017-03-16,239.110001,239.199997,238.100006,238.479996,226.412781,78344000
2017-03-17,237.750000,237.970001,237.029999,237.029999,226.015182,89002100
2017-03-20,237.029999,237.360001,236.320007,236.770004,225.767258,52537000
2017-03-21,237.470001,237.610001,233.580002,233.729996,222.868484,131809300
2017-03-22,233.770004,234.610001,233.050003,234.279999,223.392944,97569200
2017-03-23,234.279999,235.339996,233.600006,234.029999,223.154587,100410300
2017-03-24,234.380005,235.039993,232.960007,233.860001,222.992477,112504900
2017-03-27,231.929993,233.919998,231.610001,233.619995,222.763626,87454500
2017-03-28,233.270004,235.809998,233.139999,235.320007,224.384628,93483900
2017-03-29,234.990005,235.809998,234.729996,235.539993,224.594421,61950400
2017-03-30,235.470001,236.520004,235.270004,236.289993,225.309525,56737900
2017-03-31,235.899994,236.509995,235.679993,235.740005,224.785110,73733100
2017-04-03,235.800003,236.029999,233.910004,235.330002,224.394180,85546500
2017-04-04,235.000000,235.580002,234.559998,235.479996,224.537186,56466200
2017-04-05,236.259995,237.389999,234.539993,234.779999,223.869720,108800600
2017-04-06,234.940002,236.039993,234.429993,235.440002,224.499069,69135800
2017-04-07,235.149994,236.000000,234.639999,235.199997,224.270203,74412300
2017-04-10,235.360001,236.259995,234.729996,235.339996,224.403717,67615300
2017-04-11,234.899994,235.179993,233.339996,235.059998,224.136688,88045300
2017-04-12,234.740005,234.960007,233.770004,234.029999,223.154587,81864400
2017-04-13,233.639999,234.490005,232.509995,232.509995,221.705200,92880400
2017-04-17,233.110001,234.570007,232.880005,234.570007,223.669510,68405400
2017-04-18,233.720001,234.490005,233.080002,233.869995,223.002014,83225800
2017-04-19,234.520004,234.949997,233.179993,233.440002,222.592010,68699900
2017-04-20,234.149994,235.850006,233.779999,235.339996,224.403717,92572200
2017-04-21,235.250000,235.309998,234.130005,234.589996,223.688553,110389800
2017-04-24,237.179993,237.410004,234.559998,237.169998,226.148666,119209900
2017-04-25,237.910004,238.949997,237.809998,238.550003,227.464539,76698300
2017-04-26,238.509995,239.529999,238.350006,238.399994,227.321518,84702500
